,Candidate,Party,Criminal.Cases,Education,Age,Total.Assets,Liabilities,Constituency,State,District,Year
1,Anila Bhendia,INC,0,Post Graduate,57,78469355,9612385,DONDI LOHARA (ST),CHHATTISGARH,BALOD,2023
2,Kunwer Singh Nishad,INC,0,Post Graduate,52,5431396,350000,GUNDERDEHI,CHHATTISGARH,BALOD,2023
3,Sangeeta Sinha,INC,0,Graduate,48,51222958,5442695,SANJARI BALOD,CHHATTISGARH,BALOD,2023
4,Tank Ram Verma,BJP,0,Post Graduate,61,24735862,0,BALODA BAZAR,CHHATTISGARH,BALODABAZAR- BHATAPARA,2023
5,Indra Kumar Sao,INC,1,Post Graduate,56,24506891,550000,BHATAPARA,CHHATTISGARH,BALODABAZAR- BHATAPARA,2023
6,Sandeep Sahu,INC,0,Post Graduate,44,4513398,0,KASDOL,CHHATTISGARH,BALODABAZAR- BHATAPARA,2023
7,Ram Vichar Netam,BJP,0,10th Pass,62,69283634,4982076,RAMANUJGANJ (ST),CHHATTISGARH,BALRAMPUR,2023
8,Udhheshwari Paikra,BJP,1,12th Pass,51,16239904,4102193,SAMRI (ST),CHHATTISGARH,BALRAMPUR,2023
9,Lakheshwar Baghel,INC,0,Graduate,64,89905652,8722534,BASTAR (ST),CHHATTISGARH,BASTAR (JAGDALPUR),2023
10,Vinayak Goyal,BJP,1,12th Pass,46,6031611,663795,CHITRAKOT (ST),CHHATTISGARH,BASTAR (JAGDALPUR),2023
11,Kiran Deo,BJP,0,Graduate Professional,61,30150691,1500000,JAGDALPUR,CHHATTISGARH,BASTAR (JAGDALPUR),2023
12,Dipesh Sahu,BJP,0,Post Graduate,35,5044154,0,BEMETARA,CHHATTISGARH,BEMETARA,2023
13,Dayal Das Baghel,BJP,1,8th Pass,69,38105638,4390813,NAWAGARH (SC),CHHATTISGARH,BEMETARA,2023
14,Ishwar Sahu,BJP,0,5th Pass,42,1660270,0,SAJA,CHHATTISGARH,BEMETARA,2023
15,Vikram Mandavi,INC,0,12th Pass,46,7312794,2226830,BIJAPUR (ST),CHHATTISGARH,BIJAPUR,2023
16,Sushant Shukla,BJP,1,12th Pass,40,41928600,10943118,BELTARA,CHHATTISGARH,BILASPUR,2023
17,Amar Agrawal,BJP,0,Graduate,60,270065891,37255661,BILASPUR,CHHATTISGARH,BILASPUR,2023
18,Dharam Lal Kaushik,BJP,0,Post Graduate,65,97069683,0,BILHA,CHHATTISGARH,BILASPUR,2023
19,Atal Shrivastav,INC,3,Graduate Professional,55,102128712,20593928,KOTA,CHHATTISGARH,BILASPUR,2023
20,Dilip Lahariya,INC,0,12th Pass,54,24181416,5067565,MASTURI (SC),CHHATTISGARH,BILASPUR,2023
21,Dharmjeet Singh,BJP,0,Graduate,70,29278301,0,TAKHATPUR,CHHATTISGARH,BILASPUR,2023
22,Chaitram Atami,BJP,0,12th Pass,47,4018633,496000,DANTEWADA (ST),CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,2023
23,Onkar Sahu,INC,0,12th Pass,41,16053318,0,DHAMTARI,CHHATTISGARH,DHAMTARI,2023
24,Ajay Chandrakar,BJP,0,Post Graduate,60,145293631,23559783,KURUD,CHHATTISGARH,DHAMTARI,2023
25,Ambika Markam,INC,0,Post Graduate,60,10465834,1346446,SIHAWA (ST),CHHATTISGARH,DHAMTARI,2023
26,Domanlal Korsewada,BJP,0,Post Graduate,75,16226118,967384,AHIWARA (SC),CHHATTISGARH,DURG,2023
27,Devendra Yadav,INC,4,12th Pass,33,49721456,23634285,BHILAI NAGAR,CHHATTISGARH,DURG,2023
28,Gajendra Yadav,BJP,1,Post Graduate,45,42766482,2027663,DURG CITY,CHHATTISGARH,DURG,2023
29,Lalit Chandrakar,BJP,0,Graduate,49,136739504,5206319,DURG-RURAL,CHHATTISGARH,DURG,2023
