,x,,,,,,,,,,,,,State,Year
1,https://www.myneta.info/andhrapradesh2019/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ANDHRA PRADESH,2019
2,https://www.myneta.info/andhra2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ANDHRA PRADESH,2014
3,https://www.myneta.info/ap09/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ANDHRA PRADESH,2009
4,https://www.myneta.info/ArunachalPradesh2019/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ARUNACHAL PRADESH,2019
5,https://www.myneta.info/arunachal2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ARUNACHAL PRADESH,2014
6,https://www.myneta.info/an2009/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ARUNACHAL PRADESH,2009
7,https://www.myneta.info/an2004/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ARUNACHAL PRADESH,2004
8,https://www.myneta.info/Assam2021/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ASSAM,2021
9,https://www.myneta.info/assam2016/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ASSAM,2016
10,https://www.myneta.info/assam2011/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ASSAM,2011
11,https://www.myneta.info/assam2006/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,ASSAM,2006
12,https://www.myneta.info/Bihar2020/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,BIHAR,2020
13,https://www.myneta.info/bihar2015/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,BIHAR,2015
14,https://www.myneta.info/bih2010/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,BIHAR,2010
15,https://www.myneta.info/bih2005/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,BIHAR,2005
16,https://www.myneta.info/Chhattisgarh2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,CHHATTISGARH,2023
17,https://www.myneta.info/chhattisgarh2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,CHHATTISGARH,2018
